regions,day,price,Year
USA,2020-02-01,25.212118654813608,2020
Canada,2020-03-01,15.75,2020
France,2020-03-01,7.5231186,2020
Germany,2020-03-01,12.634943400000001,2020
Japan,2020-03-01,6.802443290516535,2020
UK,2020-03-01,37.86462332086972,2020
USA,2020-03-01,16.387704290789834,2020
Canada,2020-04-01,20.24,2020
France,2020-04-01,7.249784700000001,2020
Germany,2020-04-01,12.727295800000002,2020
Japan,2020-04-01,6.419577542062912,2020
UK,2020-04-01,34.36016901752204,2020
USA,2020-04-01,17.13313917337235,2020
Canada,2020-05-01,15.9,2020
France,2020-05-01,6.1257851,2020
Germany,2020-05-01,13.783393400000001,2020
Japan,2020-05-01,6.543162927546892,2020
UK,2020-05-01,44.82669768011046,2020
USA,2020-05-01,14.555764987127619,2020
Canada,2020-06-01,16.950001,2020
France,2020-06-01,6.1414524,2020
Germany,2020-06-01,13.616877599999999,2020
Japan,2020-06-01,6.301619287513494,2020
UK,2020-06-01,37.961335798735405,2020
USA,2020-06-01,17.90481827995682,2020
Canada,2020-07-01,15.11,2020
France,2020-07-01,5.309211299999999,2020
Germany,2020-07-01,11.3792726,2020
Japan,2020-07-01,5.434642857142856,2020
UK,2020-07-01,28.821879754727416,2020
USA,2020-07-01,15.108307142857141,2020
Canada,2020-08-01,17.6,2020
France,2020-08-01,6.0030848,2020
Germany,2020-08-01,13.878954000000002,2020
Japan,2020-08-01,6.977515192437543,2020
UK,2020-08-01,34.799326094411065,2020
USA,2020-08-01,17.510879473328835,2020
Canada,2020-09-01,15.69,2020
France,2020-09-01,4.6207199999999995,2020
Germany,2020-09-01,11.4816,2020
Japan,2020-09-01,6.246767331275548,2020
UK,2020-09-01,28.739313958616012,2020
USA,2020-09-01,15.994327187786766,2020
Canada,2020-10-01,14.73,2020
France,2020-10-01,4.388096,2020
Germany,2020-10-01,11.512115199999998,2020
Japan,2020-10-01,5.7802586793737225,2020
UK,2020-10-01,30.84843951985715,2020
USA,2020-10-01,14.988808713410485,2020
Canada,2020-11-01,24.700001,2020
France,2020-11-01,7.778,2020
Germany,2020-11-01,15.0053176,2020
Japan,2020-11-01,6.4495298341596845,2020
UK,2020-11-01,51.649789686058895,2020
USA,2020-11-01,18.79007351684049,2020
Canada,2020-12-01,22.77,2020
France,2020-12-01,7.947264,2020
Germany,2020-12-01,16.787043,2020
Japan,2020-12-01,5.732556818181817,2020
UK,2020-12-01,47.75714470745451,2020
USA,2020-12-01,20.45303643048128,2020
Canada,2021-01-01,20.02,2021
France,2021-01-01,7.627340699999999,2021
Germany,2021-01-01,16.641328499999997,2021
Japan,2021-01-01,5.618248716486024,2021
UK,2021-01-01,57.878590273405784,2021
USA,2021-01-01,21.874224594572567,2021
Canada,2021-02-01,25.1,2021
France,2021-02-01,8.631397199999999,2021
Germany,2021-02-01,19.009809,2021
Japan,2021-02-01,6.172184707050646,2021
UK,2021-02-01,74.0666097782313,2021
USA,2021-02-01,26.8144302775571,2021
Canada,2021-03-01,26.15,2021
France,2021-03-01,7.783630400000002,2021
Germany,2021-03-01,17.267257,2021
Japan,2021-03-01,6.120751680079647,2021
UK,2021-03-01,64.5124700670071,2021
USA,2021-03-01,30.28694930722641,2021
Canada,2021-04-01,24.77,2021
France,2021-04-01,6.855253200000001,2021
Germany,2021-04-01,15.878280599999998,2021
Japan,2021-04-01,5.954581134003066,2021
UK,2021-04-01,72.73002308644874,2021
USA,2021-04-01,27.343233884982123,2021
Canada,2021-05-01,27.360001,2021
France,2021-05-01,6.862208400000001,2021
